Date,use [kW],pred use [kW]
2014-12-01,30.550010002,32.26010484404125
2014-12-02,31.748857222,32.01796260263519
2014-12-03,28.773233334,31.162595544261677
2014-12-04,39.484491114,33.28939263900058
2014-12-05,33.342502778,30.8968798603876
2014-12-06,36.470153331,31.26477861123778
2014-12-07,26.486584999,30.41932144713236
2014-12-08,23.01398,30.499243475598966
2014-12-09,27.954351111,29.994066044886047
2014-12-10,37.422625002,32.98988355326048
2014-12-11,35.182711669,32.759243164746806
2014-12-12,24.209088335,33.182024978993724
2014-12-13,20.455440001,33.51228857647248
2014-12-14,19.82120278,33.54427945659802
2014-12-15,41.912526108,33.60711496217337
2014-12-16,20.712163334,30.86147878394982
2014-12-17,21.802122778,32.37886166885447
2014-12-18,19.836074999,33.03298082353287
2014-12-19,32.802818891,33.456100604926576
2014-12-20,34.296287221,32.79554012945242
2014-12-21,21.058376112,30.3266453820174
2014-12-22,27.362026664,30.07580079688806
2014-12-23,19.38713611,30.00801551959602
2014-12-24,27.682245557999998,29.770134999299536
2014-12-25,40.268132218,31.97708028910654
2014-12-26,44.563400003,33.05291450449178
2014-12-27,35.046126665,32.76329763950416
2014-12-28,37.695824447,32.208394137988776
2014-12-29,28.675929444,33.20186536388253
2014-12-30,31.514312775,33.95244390470218
2014-12-31,28.674498335,33.40273772089852
